nodes PCs graph_id level exec_time_prereq exec_time_gurobi VCs pot_paths objective VCs_created graph_diameter number_of_trxs
5 10 0 -1 4.198450859 0.024080114000000208 0 5 0.0 0 1 5 
5 10 0 0 5.762782625000001 0.0033969909999989056 0 5 0.0 0 1 5 
5 10 0 1 6.201876797999999 0.003528587999998223 0 5 0.0 0 1 5 
5 10 1 -1 5.176115389 0.015653315000001555 0 16 0.0 0 2 5 
5 10 1 0 5.3007268770000024 0.007783436000000421 3 28 0.0 0 2 5 
5 10 1 1 4.182983176999997 0.004160165000001825 3 28 0.0 0 2 5 
5 10 2 -1 4.341280443999999 0.03167155899999585 0 5 0.0 0 1 5 
5 10 2 0 4.769710330999999 0.003093546000002334 0 5 0.0 0 1 5 
5 10 2 1 8.156123488000006 0.00392472800000121 0 5 0.0 0 1 5 
5 10 3 -1 4.7415923719999995 0.003306057999999723 0 5 0.0 0 1 5 
5 10 3 0 4.557015778999997 0.005187597000002597 0 5 0.0 0 1 5 
5 10 3 1 4.093335247999995 0.003016904000006093 0 5 0.0 0 1 5 
5 10 4 -1 4.553828129999999 0.009005799999997066 0 5 0.0 0 1 5 
5 10 4 0 4.361588141999988 0.003287012000001255 0 5 0.0 0 1 5 
5 10 4 1 4.164994756999988 0.004259860000004778 0 5 0.0 0 1 5 
5 10 5 -1 3.993697095999991 0.0038167549999883477 0 5 0.0 0 1 5 
5 10 5 0 4.491627479000002 0.003559903999999392 0 5 0.0 0 1 5 
5 10 5 1 4.062257083000006 0.006022526999998945 0 5 0.0 0 1 5 
5 10 6 -1 4.329920651999998 0.0030713060000095993 0 5 0.0 0 1 5 
5 10 6 0 3.9294895889999992 0.002859000000000833 0 5 0.0 0 1 5 
5 10 6 1 4.136098844000003 0.006785328999995954 0 5 0.0 0 1 5 
5 10 7 -1 3.968061856999995 0.003949981000005209 0 17 16.0 0 2 5 
5 10 7 0 4.075855412999999 0.01328879799999072 3 32 16.0 1 2 5 
5 10 7 1 4.285268019 0.003680548999994926 3 32 16.0 1 2 5 
5 10 8 -1 4.124177646999996 0.002905118000001039 0 5 0.0 0 1 5 
5 10 8 0 4.1628596829999935 0.0042297620000084635 0 5 0.0 0 1 5 
5 10 8 1 4.141605099000003 0.004520550999998818 0 5 0.0 0 1 5 
5 10 9 -1 4.226441183999995 0.003611383000020396 0 5 0.0 0 1 5 
5 10 9 0 4.155595323 0.004649812000025122 0 5 0.0 0 1 5 
5 10 9 1 4.169264001000016 0.0034274399999958405 0 5 0.0 0 1 5 
5 10 10 -1 4.174671329000006 0.004274418999983709 0 5 0.0 0 1 5 
5 10 10 0 4.025565778000015 0.0032869890000029045 0 5 0.0 0 1 5 
5 10 10 1 4.162606101000023 0.005755649000008134 0 5 0.0 0 1 5 
5 10 11 -1 4.1320861179999895 0.0038050010000176826 0 16 46.0 0 2 5 
5 10 11 0 3.922591572999977 0.05191376599998421 3 28 19.0 1 2 5 
5 10 11 1 4.070253486000013 0.005959896999996772 3 28 19.0 1 2 5 
5 10 12 -1 4.148024649999996 0.004653587999996489 0 5 0.0 0 1 5 
5 10 12 0 4.212838304999991 0.004855469000005996 0 5 0.0 0 1 5 
5 10 12 1 4.246589445000012 0.0043267950000256405 0 5 0.0 0 1 5 
5 10 13 -1 4.0211657689999925 0.0058984869999960665 0 5 0.0 0 1 5 
5 10 13 0 4.182586845000003 0.0032657220000089637 0 5 0.0 0 1 5 
5 10 13 1 4.134040475999996 0.003411245999984658 0 5 0.0 0 1 5 
5 10 14 -1 4.293868086000003 0.002829990000009275 0 5 0.0 0 1 5 
5 10 14 0 4.132920700999989 0.004603307999985873 0 5 0.0 0 1 5 
5 10 14 1 4.115571192000004 0.0035512869999934082 0 5 0.0 0 1 5 
5 10 15 -1 4.113667243999998 0.003555183000003126 0 5 0.0 0 1 5 
5 10 15 0 4.240244454999981 0.0034679780000033134 0 5 0.0 0 1 5 
5 10 15 1 4.022135941000016 0.004061440000015182 0 5 0.0 0 1 5 
5 10 16 -1 4.068386435999997 0.003941470999990315 0 5 0.0 0 1 5 
5 10 16 0 4.050704111000016 0.0033555589999991753 0 5 0.0 0 1 5 
5 10 16 1 4.414946783000005 0.004349305000005188 0 5 0.0 0 1 5 
5 10 17 -1 4.0216803730000095 0.0027757299999962015 0 5 0.0 0 1 5 
5 10 17 0 4.035299484999996 0.0032434459999990395 0 5 0.0 0 1 5 
5 10 17 1 4.313961976000002 0.004316945999988775 0 5 0.0 0 1 5 
5 10 18 -1 4.040200954999989 0.0037950230000092233 0 22 0.0 0 2 5 
5 10 18 0 4.13883126799999 0.006425614000022506 3 25 0.0 0 2 5 
5 10 18 1 4.121890726000004 0.004978506000014704 3 25 0.0 0 2 5 
5 10 19 -1 4.114282384999996 0.002893808999999692 0 5 0.0 0 1 5 
5 10 19 0 4.079625329999999 0.003503544000011516 0 5 0.0 0 1 5 
5 10 19 1 4.098113365000017 0.0031377480000287505 0 5 0.0 0 1 5 
5 10 20 -1 4.043509737000022 0.0036576899999545276 0 17 30.0 0 2 5 
5 10 20 0 4.170231961999946 0.006016577000025336 3 29 20.0 1 2 5 
5 10 20 1 4.140426527999978 0.00468118300000242 3 29 20.0 1 2 5 
5 10 21 -1 4.370187064999982 0.006263254000032248 0 17 20.0 0 2 5 
5 10 21 0 4.046831990999976 0.004158693999954721 3 29 10.0 1 2 5 
5 10 21 1 4.072180174999971 0.004048408000016934 3 29 10.0 1 2 5 
5 10 22 -1 4.03963873500004 0.004235946999983753 0 5 0.0 0 1 5 
5 10 22 0 4.473404255000048 0.002961894999998549 0 5 0.0 0 1 5 
5 10 22 1 4.272912514000041 0.003955774000019119 0 5 0.0 0 1 5 
5 10 23 -1 4.139643683999964 0.003675861999965946 0 5 0.0 0 1 5 
5 10 23 0 4.150839818000009 0.003129418000014539 0 5 0.0 0 1 5 
5 10 23 1 4.206164113 0.006365856000002168 0 5 0.0 0 1 5 
5 10 24 -1 4.169356006999976 0.0029246960000364197 0 5 0.0 0 1 5 
5 10 24 0 4.199714968000023 0.0061685250000209635 0 5 0.0 0 1 5 
5 10 24 1 4.118928804999996 0.005277558999978282 0 5 0.0 0 1 5 
